Species,JMOE,IUCN
Mugilogobius abei,LC,LC
Myersina filifer,LC,LC
Odontamblyopus lacepedii,VU,LC
Periophthalmus modestus,NT,LC
Pseudogobius masago,VU,LC
Rhinogobius flumineus,LC,LC
Rhinogobius similis,LC,LC
Rhinogobius sp.,LC,LC
Sicyopterus japonicus,LC,LC
Taenioides snyderi ,EN,LC
Tridentiger barbatus,NT,LC
Tridentiger trigonocephalus,LC,LC
Tridentiger spp.,LC,LC
Parioglossus dotui,LC,LC
Scatophagus argus,LC,LC
Siganus fuscescens,LC,LC
Prionurus scalprum,LC,DD
Sphyraena japonica,LC,LC
Sphyraena pinguis,LC,LC
Auxis spp,LC,LC
Sarda orientalis,LC,LC
Scomber spp.,LC,LC
Scomberomorus niphonius,LC,DD
Channa argus,LC,LC
Paralichthys olivaceus,LC,LC
Eopsetta grigorjewi,LC,LC
Platichthys stellatus,LC,LC
Platichthys bicoloratus,LC,LC
Pseudopleuronectes spp.,LC,LC
Thamnaconus modestus,LC,LC
Canthigaster rivulata,LC,LC
Takifugu spp.,LC,LC
