,Lethenteron sp. S,Hemitrygon akajei,Dasyatis thetidis,Aetobatus narutobiei,Megalops cyprinoides,Anguilla japonica,Gymnothorax kidako,Ophisurus macrorhynchos,Muraenesox cinereus,Coilia nasus,Encrasicholina devisi,Engraulis japonicus,Clupea pallasii,Etrumeus micropus,Ilisha elongata,Konosirus punctatus,Sardinella zunasi,Sardinops melanostictus,Spratelloides gracilis,Acheilognathus cyanostigma,Acheilognathus melanogaster,Acheilognathus rhombeus,Acheilognathus tabira jordani,Biwia zezera,Carassius spp.,Ctenopharyngodon idella,Cyprinus spp.,Gnathopogon caerulescens,Gnathopogon elongatus elongatus,Hemibarbus spp.,Ischikauia steenackeri,Nipponocypris sieboldii,Nipponocypris temminckii,Phoxinus lagowskii steindachneri ,Phoxinus oxycephalus jouyi,Phoxinus percnurus sachalinensis,Pseudogobio esocinus,Pseudogobio agathonectris,Pseudogobio polystictus,Pseudorasbora parva,Pungtungia herzi,Rhodeus ocellatus ocellatus,Sarcocheilichthys variegatus microoculus,Squalidus gracilis gracilis,Squalius spp.,Tanakia lanceolata,Tanakia limbata,Tribolodon brandtii maruta,Tribolodon brandtii brandtii,Tribolodon hakonensis,Tribolodon sachalinensis,Opsariichthys platypus,Cobitis minamorii saninensis,Cobitis sp. BIWAE typeA,Cobitis sp. BIWAE typeB,Cobitis sp. BIWAE typeC,Cobitis minamorii tokaiensis,Cobitis striata striata,Cobitis takatsuensis,Misgurnus anguillicaudatus,Misgurnus sp. Clade A,Misgurnus sp.,Niwaella delicata,Noemacheilus barbatulus toni,Lefua echigonia,Lefua nikkonis,Liobagrus reini,Silurus asotus,Plotosus japonicus,Tachysurus nudiceps,Hypomesus olidus,Plecoglossus altivelis altivelis,Salangichthys ishikawae,Salanx ariakensis,Oncorhynchus gorbuscha,Oncorhynchus keta,Oncorhynchus masou masou,Oncorhynchus mykiss,Salvelinus sp.,Oryzias sakaizumii,Oryzias latipes,Saurida elongata,Diaphus chrysorhynchus,Bregmaceros arabicus,Gadus macrocephalus,Liza affinis,Liza haematocheila,Liza macrolepis,Mugil cephalus,Iso flosmaris,Atherion elymus,Hypoatherina tsurugae,Hypoatherina valenciennei,Cypselurus spp.,Hyporhamphus intermedius,Hyporhamphus sajori,Ablennes hians,Strongylura anastomella,Tylosurus crocodilus crocodilus,Cololabis saira,Hypoptychus dybowskii,Pungitius spp.,Hippichthys penicillus,Syngnathus schlegeli,Apistus carinatus,Inimicus japonicus,Hypodytes rubripinnis,Scorpaena miostoma,Scorpaenopsis cirrosa,Sebastes spp.,Sebastiscus marmoratus,Chelidonichthys spinosus,Platycephalus sp. 1,Platycephalus sp. 2,Hexagrammos spp.,Bero elegans,Cottus amblystomopsis,Cottus kazika,Cottus pollux,Cottus reinii,Porocottus allisi,Liparis agassizii,Liparis punctulatus,Lateolabrax japonicus,Lateolabrax latus,Lateolabrax masclulatus,Coreoperca kawamebari,Acropoma japonicum,Diploprion bifasciatum,Epinephelus akaara,Epinephelus areolatus,Epinephelus awoara,Epinephelus merra,Lepomis macrochirus,Micropterus dolomieu,Micropterus salmoides salmoides,Apogon coccineus,Apogon unicolor,Ostorhinchus doederleini,Ostorhinchus notatus,Ostorhinchus semilineatus,Sillago japonica,Decapterus maruadsi,Seriola dumerili,Seriola lalandi,Seriola quinqueradiata,Trachinotus baillonii,Trachurus japonicus,Equulites rivulatus,Nuchequula nuchalis,Lutjanus ophuysenii,Pterocaesio tile,Gerres equulus,Hapalogenys nigripinnis,Hapalogenys sennin,Parapristipoma trilineatum,Plectorhinchus cinctus,Acanthopagrus latus,Acanthopagrus schlegelii,Evynnis tumifrons,Pagrus major,Rhabdosargus sarba,Polydactylus plebeius,Nibea albiflora,Nibea mitsukurii,Pennahia argentata,Parupeneus ciliatus,Parupeneus indicus,Parupeneus spilurus,Upeneus japonicus,Pempheris spp.,Girella leonina,Girella punctata,Kyphosus bigibbus,Microcanthus strigatus,Chaetodon spp,Rhynchopelates oxyrhynchus,Terapon jarbua,Oplegnathus fasciatus,Cheilodactylus spp.,Acanthocepola krusensternii,Ditrema temminckii subspp.,Neoditrema ransonneti,Abudefduf spp.,Chromis notata notata,Pomacentrus coelestis,Pomacentrus nagasakiensis,Halichoeres poecilopterus,Halichoeres tenuispinis,Pseudolabrus eoethinus,Pseudolabrus sieboldi,Semicossyphus reticulatus,Stethojulis interrupta terina,Suezichthys gracilis,Thalassoma lunare,Thalassoma cupido,Stichaeidae,Dictyosoma burgeri Form a,Dictyosoma burgeri Form b,Dictyosoma rubrimaculatum,Ernogrammus hexagrammus,Neozoarces steindachneri,Stichaeopsis nana,Zoarchias neglectus,Zoarchias veneficus,Pholis spp.,Pholis nebulosa,Rhodymenichthys dolichogaster,Ammodytes japonicus,Enneapterygius etheostomus,Springerichthys bapturus,Enneapterygius sp.,Entomacrodus stellifer stellifer,Istiblennius enosimae,Istiblennius sp.,Omobranchus elegans,Omobranchus fasciolatoceps,Omobranchus loxozonus,Omobranchus punctatus,Parablennius yatabei,Petroscirtes breviceps,Rhabdoblennius nitidus,Neoclinus bryope,Repomucenus spp.,Callionymidae spp.,Repomucenus valenciennei,Odontobutis hikimius,Odontobutis obscura,Eleotris oxycephala,Eleotris sp.,Acanthogobius flavimanus,Acanthogobius hasta,Acentrogobius spp.,Amblychaeturichthys hexanema,Amblychaeturichthys sciistius,Bathygobius cocosensis,Bathygobius sp.,Boleophthalmus pectinirostris,Callogobius snelliusi,Callogobius tanegasimae,Chaenogobius annularis,Chaenogobius gulosus,Chaeturichthys jeoni ,Eutaeniichthys gilli,Eviota abax,Favonigobius gymnauchen,Acanthogobius lactipes,Glossogobius olivaceus,Gymnogobius breunigii,Gymnogobius castaneus,Gymnogobius heptacanthus,Gymnogobius macrognathos,Gymnogobius opperiens,Gymnogobius petschiliensis,Gymnogobius scrobiculatus,Gymnogobius urotaenia,Istigobius campbelli,Leucopsarion petersii,Luciogobius guttatus,Luciogobius pallidus,Luciogobius saikaiensis,Luciogobius spp.,Mugilogobius abei,Myersina filifer,Odontamblyopus lacepedii,Periophthalmus modestus,Pseudogobius masago,Redigobius bikolanus,Rhinogobius flumineus,Rhinogobius similis,Rhinogobius sp.,Sagamia geneionema,Sicyopterus japonicus,Taenioides snyderi ,Tridentiger barbatus,Tridentiger trigonocephalus,Tridentiger spp.,Clariger cosmurus,Parioglossus dotui,Scatophagus argus,Siganus fuscescens,Siganus spp,Acanthurus triostegus,Prionurus scalprum,Sphyraena japonica,Sphyraena pinguis,Sphyraena obtusata,Auxis spp,Sarda orientalis,Scomber spp.,Scomberomorus niphonius,Channa argus,Paralichthys olivaceus,Pseudorhombus pentophthalmus,Eopsetta grigorjewi,Platichthys stellatus,Platichthys bicoloratus,Pseudopleuronectes spp.,Heteromycteris japonicus,Paraplagusia japonica,Triacanthus biaculeatus,Rudarius ercodes,Stephanolepis cirrhifer,Thamnaconus modestus,Ostracion spp.,Canthigaster rivulata,Lagocephalus spp.,Takifugu spp.
Miya ,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,164,0,154,0,42,43,0,0,27,0,0,0,78,0,0,0,0,66,0,0,0,76,217,0,0,106,0,44,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2357,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0,57,0,0,0,8730,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12857,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,34,47,69,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,2441
Mu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,549,3726,4768,0,0,0,0,0,0,0,0,1009,0,0,0,6498,0,2108,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,4162,0,3391,0,0,0,0,0,0,0,0,551,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naka,0,48,0,0,0,61,0,0,0,0,0,11285,0,0,0,3982,457,2170,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,57,0,0,0,0,0,0,0,0,0,2479,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,1515,23,0,0,0,0,0,29,0,0,0,0,0,0,46,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,182,174,0,0,0,0,0,0,0,0,117,0,0,0,1583,0,0,36,0,0,31,0,0,0,0,0,0,0,0,0,0,0,1752
Naruse,0,0,0,0,0,257,0,0,0,0,0,130,0,0,0,283,0,361,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,23,0,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3101,58,0,0,0,0,0,0,0,0,1576,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,36,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18130
Niyodo,0,0,0,0,0,243,0,0,0,0,0,32,0,0,0,0,28,0,0,0,0,0,0,0,618,0,2682,0,0,2666,0,0,0,0,0,0,270,0,0,0,67,122,0,0,274,55,0,0,0,1250,0,1143,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5711,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,56,0,0,0,0,0,1854,206,0,0,0,0,0,0,0,0,101,0,23,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,470,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,154,0,108,59,0,0,0,0,0,0,312,1424,0,0,0,0,0,7412,0,0,0,0,0,0,0,0,0,0,0,0,100,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902
Ono,0,0,0,0,0,171,0,0,0,0,0,686,0,0,0,115,28,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8023,0,0,0,520,0,0,1030,0,9827,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,1001,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,7805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,140,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,44,0,0,99,0,0,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556
Oyodo,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,123,0,340,152,0,0,0,0,0,126,0,184,0,0,189,0,0,38,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,18102,0,0,508,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,1157,523,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,158,0,0,0,0,0,0,0,67,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,209,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,732,0,0,466,2174,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2038
Sendai,0,0,0,0,0,17,0,0,0,0,0,2412,0,0,0,8170,0,0,88,0,0,0,0,0,0,0,39,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,5251,0,0,0,0,119,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,455,0,0,0,0,0,0,32,0,0,0,0,0,29,0,0,0,441,0,317,0,0,0,114,0,0,0,0,0,0,0,0,24,41,1695,0,47,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,25,0,0,0,278,0,382,22,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,48,38,0,0,106,0,0,0,66,28,216,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9673
Takatsu,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,1020,0,0,0,0,0,585,0,88,0,880,0,0,0,1428,0,0,96,0,0,178,0,0,1461,0,412,0,22,0,0,0,0,98,21,0,0,0,0,0,0,0,41,0,255,0,260,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,599,0,0,0,0,712,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0,0,0,145,0,0,37,0,0,0,0,0,0,0,1184,1873,0,0,0,0,0,16437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
Yahagi,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,2129,0,7022,0,67,605,0,0,19,0,0,0,290,32,0,0,0,0,28,0,192,0,0,0,0,70,0,519,0,0,0,0,27,0,0,0,0,114,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,48,451,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5964,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,105,219,49,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yamato,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663,69,5968,0,0,0,0,0,0,0,0,0,2265,54,0,68,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,176,40,0,0,0,0,0,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoneshiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,1786,0,1174,0,147,1967,0,0,0,1278,0,0,0,0,294,418,0,0,0,0,0,197,0,0,0,4970,496,111,0,0,0,0,0,0,0,1357,348,51,0,0,0,0,0,0,0,0,28,0,0,0,0,0,441,0,166,0,0,0,0,0,0,0,2587,0,4104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,166,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965,0,0,0,0,0,2391,0,0,0,52,0,0,0,0,0,0,0,0,0,0,101,0,0,107,322,0,0,0,0,0,0,0,0,0,0,0,1744
