,Lethenteron sp. S,Hemitrygon akajei,Dasyatis thetidis,Aetobatus narutobiei,Megalops cyprinoides,Anguilla japonica,Gymnothorax kidako,Ophisurus macrorhynchos,Muraenesox cinereus,Coilia nasus,Encrasicholina devisi,Engraulis japonicus,Clupea pallasii,Etrumeus micropus,Ilisha elongata,Konosirus punctatus,Sardinella zunasi,Sardinops melanostictus,Spratelloides gracilis,Acheilognathus cyanostigma,Acheilognathus melanogaster,Acheilognathus rhombeus,Acheilognathus tabira jordani,Biwia zezera,Carassius spp.,Ctenopharyngodon idella,Cyprinus spp.,Gnathopogon caerulescens,Gnathopogon elongatus elongatus,Hemibarbus spp.,Ischikauia steenackeri,Nipponocypris sieboldii,Nipponocypris temminckii,Phoxinus lagowskii steindachneri ,Phoxinus oxycephalus jouyi,Phoxinus percnurus sachalinensis,Pseudogobio esocinus,Pseudogobio agathonectris,Pseudogobio polystictus,Pseudorasbora parva,Pungtungia herzi,Rhodeus ocellatus ocellatus,Sarcocheilichthys variegatus microoculus,Squalidus gracilis gracilis,Squalius spp.,Tanakia lanceolata,Tanakia limbata,Tribolodon brandtii maruta,Tribolodon brandtii brandtii,Tribolodon hakonensis,Tribolodon sachalinensis,Opsariichthys platypus,Cobitis minamorii saninensis,Cobitis sp. BIWAE typeA,Cobitis sp. BIWAE typeB,Cobitis sp. BIWAE typeC,Cobitis minamorii tokaiensis,Cobitis striata striata,Cobitis takatsuensis,Misgurnus anguillicaudatus,Misgurnus sp. Clade A,Misgurnus sp.,Niwaella delicata,Noemacheilus barbatulus toni,Lefua echigonia,Lefua nikkonis,Liobagrus reini,Silurus asotus,Plotosus japonicus,Tachysurus nudiceps,Hypomesus olidus,Plecoglossus altivelis altivelis,Salangichthys ishikawae,Salanx ariakensis,Oncorhynchus gorbuscha,Oncorhynchus keta,Oncorhynchus masou masou,Oncorhynchus mykiss,Salvelinus sp.,Oryzias sakaizumii,Oryzias latipes,Saurida elongata,Diaphus chrysorhynchus,Bregmaceros arabicus,Gadus macrocephalus,Liza affinis,Liza haematocheila,Liza macrolepis,Mugil cephalus,Iso flosmaris,Atherion elymus,Hypoatherina tsurugae,Hypoatherina valenciennei,Cypselurus spp.,Hyporhamphus intermedius,Hyporhamphus sajori,Ablennes hians,Strongylura anastomella,Tylosurus crocodilus crocodilus,Cololabis saira,Hypoptychus dybowskii,Pungitius spp.,Hippichthys penicillus,Syngnathus schlegeli,Apistus carinatus,Inimicus japonicus,Hypodytes rubripinnis,Scorpaena miostoma,Scorpaenopsis cirrosa,Sebastes spp.,Sebastiscus marmoratus,Chelidonichthys spinosus,Platycephalus sp. 1,Platycephalus sp. 2,Hexagrammos spp.,Bero elegans,Cottus amblystomopsis,Cottus kazika,Cottus pollux,Cottus reinii,Porocottus allisi,Liparis agassizii,Liparis punctulatus,Lateolabrax japonicus,Lateolabrax latus,Lateolabrax masclulatus,Coreoperca kawamebari,Acropoma japonicum,Diploprion bifasciatum,Epinephelus akaara,Epinephelus areolatus,Epinephelus awoara,Epinephelus merra,Lepomis macrochirus,Micropterus dolomieu,Micropterus salmoides salmoides,Apogon coccineus,Apogon unicolor,Ostorhinchus doederleini,Ostorhinchus notatus,Ostorhinchus semilineatus,Sillago japonica,Decapterus maruadsi,Seriola dumerili,Seriola lalandi,Seriola quinqueradiata,Trachinotus baillonii,Trachurus japonicus,Equulites rivulatus,Nuchequula nuchalis,Lutjanus ophuysenii,Pterocaesio tile,Gerres equulus,Hapalogenys nigripinnis,Hapalogenys sennin,Parapristipoma trilineatum,Plectorhinchus cinctus,Acanthopagrus latus,Acanthopagrus schlegelii,Evynnis tumifrons,Pagrus major,Rhabdosargus sarba,Polydactylus plebeius,Nibea albiflora,Nibea mitsukurii,Pennahia argentata,Parupeneus ciliatus,Parupeneus indicus,Parupeneus spilurus,Upeneus japonicus,Pempheris spp.,Girella leonina,Girella punctata,Kyphosus bigibbus,Microcanthus strigatus,Chaetodon spp,Rhynchopelates oxyrhynchus,Terapon jarbua,Oplegnathus fasciatus,Cheilodactylus spp.,Acanthocepola krusensternii,Ditrema temminckii subspp.,Neoditrema ransonneti,Abudefduf spp.,Chromis notata notata,Pomacentrus coelestis,Pomacentrus nagasakiensis,Halichoeres poecilopterus,Halichoeres tenuispinis,Pseudolabrus eoethinus,Pseudolabrus sieboldi,Semicossyphus reticulatus,Stethojulis interrupta terina,Suezichthys gracilis,Thalassoma lunare,Thalassoma cupido,Stichaeidae,Dictyosoma burgeri Form a,Dictyosoma burgeri Form b,Dictyosoma rubrimaculatum,Ernogrammus hexagrammus,Neozoarces steindachneri,Stichaeopsis nana,Zoarchias neglectus,Zoarchias veneficus,Pholis spp.,Pholis nebulosa,Rhodymenichthys dolichogaster,Ammodytes japonicus,Enneapterygius etheostomus,Springerichthys bapturus,Enneapterygius sp.,Entomacrodus stellifer stellifer,Istiblennius enosimae,Istiblennius sp.,Omobranchus elegans,Omobranchus fasciolatoceps,Omobranchus loxozonus,Omobranchus punctatus,Parablennius yatabei,Petroscirtes breviceps,Rhabdoblennius nitidus,Neoclinus bryope,Repomucenus spp.,Callionymidae spp.,Repomucenus valenciennei,Odontobutis hikimius,Odontobutis obscura,Eleotris oxycephala,Eleotris sp.,Acanthogobius flavimanus,Acanthogobius hasta,Acentrogobius spp.,Amblychaeturichthys hexanema,Amblychaeturichthys sciistius,Bathygobius cocosensis,Bathygobius sp.,Boleophthalmus pectinirostris,Callogobius snelliusi,Callogobius tanegasimae,Chaenogobius annularis,Chaenogobius gulosus,Chaeturichthys jeoni ,Eutaeniichthys gilli,Eviota abax,Favonigobius gymnauchen,Acanthogobius lactipes,Glossogobius olivaceus,Gymnogobius breunigii,Gymnogobius castaneus,Gymnogobius heptacanthus,Gymnogobius macrognathos,Gymnogobius opperiens,Gymnogobius petschiliensis,Gymnogobius scrobiculatus,Gymnogobius urotaenia,Istigobius campbelli,Leucopsarion petersii,Luciogobius guttatus,Luciogobius pallidus,Luciogobius saikaiensis,Luciogobius spp.,Mugilogobius abei,Myersina filifer,Odontamblyopus lacepedii,Periophthalmus modestus,Pseudogobius masago,Redigobius bikolanus,Rhinogobius flumineus,Rhinogobius similis,Rhinogobius sp.,Sagamia geneionema,Sicyopterus japonicus,Taenioides snyderi ,Tridentiger barbatus,Tridentiger trigonocephalus,Tridentiger spp.,Clariger cosmurus,Parioglossus dotui,Scatophagus argus,Siganus fuscescens,Siganus spp,Acanthurus triostegus,Prionurus scalprum,Sphyraena japonica,Sphyraena pinguis,Sphyraena obtusata,Auxis spp,Sarda orientalis,Scomber spp.,Scomberomorus niphonius,Channa argus,Paralichthys olivaceus,Pseudorhombus pentophthalmus,Eopsetta grigorjewi,Platichthys stellatus,Platichthys bicoloratus,Pseudopleuronectes spp.,Heteromycteris japonicus,Paraplagusia japonica,Triacanthus biaculeatus,Rudarius ercodes,Stephanolepis cirrhifer,Thamnaconus modestus,Ostracion spp.,Canthigaster rivulata,Lagocephalus spp.,Takifugu spp.
Miya ,0,19,0,0,0,89,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,676,0,649,0,34,118,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,32,67,0,0,106,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1686,0,0,0,0,0,0,23,0,17,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,50,0,0,0,2286,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,544,0,0,0,0,0,79,0,0,0,98,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,2410
Mu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,734,6536,10172,0,0,0,0,0,0,0,0,874,0,0,0,7420,0,800,0,0,0,0,0,0,0,0,0,0,1075,0,0,0,0,0,0,0,0,0,420,0,143,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naka,0,26,0,0,0,0,0,0,0,0,0,184,52,0,0,639,227,120,0,0,0,0,0,0,0,0,148,0,110,25,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2551,0,0,0,0,624,0,116,0,5256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,3765,2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0,40,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10013
Naruse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,333,0,0,0,0,0,0,514,0,911,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,29,0,287,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,1741,0,9934,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,7322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,0,0,0,0,0,1333,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5090
Niyodo,0,0,0,0,0,61,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,330,0,2128,0,0,2167,0,0,68,0,0,0,629,0,0,0,17,0,0,0,370,0,0,0,0,1202,0,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11348,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,2687,361,156,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,50,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,267,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,88,0,0,0,0,0,0,0,0,0,454,2095,0,0,32,0,0,4401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ono,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,196,32,0,0,0,0,0,0,0,233,0,347,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,620,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,18556,0,0,0,0,0,0,0,0,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,1504,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,142,5683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,22,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,164,395,0,0,277,0,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208
Oyodo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977,0,0,0,0,0,0,0,0,1027,0,0,0,0,3523,0,0,941,0,0,0,2171,0,0,0,0,0,0,0,0,0,0,0,0,973,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613,0,0,0,0,0,0,0,1262,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,608,0,2091,737,0,861,5163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259
Sendai,0,0,0,0,0,43,0,0,0,0,0,524,0,0,0,20406,0,0,0,0,0,0,0,0,25,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,51,0,0,2317,0,0,0,0,0,0,0,0,20,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,439,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,39,0,0,0,0,0,0,0,0,30,86,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,206,0,0,37,0,0,78,0,29,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377
Takatsu,0,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0,899,0,0,0,0,0,964,0,90,0,1519,0,0,0,3352,0,0,188,0,0,35,0,0,1356,0,685,0,0,0,0,0,0,194,28,0,0,0,0,0,0,0,81,0,351,0,325,0,0,0,0,95,0,0,0,0,0,0,0,0,0,149,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,792,0,0,0,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,226,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,0,52,0,0,84,0,0,27,0,0,0,0,0,0,0,1278,2469,0,0,0,0,0,10937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yahagi,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,916,142,2899,0,182,398,0,0,108,0,0,0,426,32,0,65,0,0,0,0,251,0,0,0,0,86,0,412,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,0,0,0,0,0,0,0,0,0,62,0,0,0,494,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7641,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,18,98,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,322,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yamato,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,7395,0,0,21,0,0,0,0,0,0,2288,94,0,133,0,0,0,0,38,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,1146,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,1359,0,0,0,0,0,0,0,0,143,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
Yoneshiro,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,0,2319,0,0,879,0,0,0,564,0,0,0,0,138,197,0,0,188,0,0,0,0,0,0,5612,39,0,0,0,0,104,0,0,0,1221,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,4192,0,1696,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,45,87,0,0,0,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2463,0,0,0,0,0,2594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,2316
